2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,enfp,ENFP
1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,esfp,ESFP
1,2,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2,enfj,ENFJ
1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,esfj,ESFJ
2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,isfp,ISFP
2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,intp,INTP
2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,isfp,ISFP
1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,infj,INFJ
2,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,enfp,ENFP
1,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,intp,INTP
