0,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,enfp,ENFP
1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,esfp,ESFP
2,1,2,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2,enfj,ENFJ
3,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,esfj,ESFJ
4,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,isfp,ISFP
5,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,intp,INTP
6,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,isfp,ISFP
7,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,infj,INFJ
8,2,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,enfp,ENFP
9,1,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,intp,INTP
10,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,1,1,2,1,enfp,ENFP
11,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,esfp,ESFP
12,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,1,2,1,intj,INTJ
13,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,enfj,ENFJ
14,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,esfp,ESFP
15,1,2,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,intp,INTP
16,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,estp,ESTP
17,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2,1,isfj,ISFJ
18,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,isfp,ISFP
19,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,enfp,ENFP
20,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,entj,ENTJ
21,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,estp,ESTP
22,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,intp,INTP
23,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,estj,ESTJ
24,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,enfp,ENFP
25,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,estp,ESTP
26,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,istp,ISTP
27,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,isfp,ISFP
