1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,isfp
2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,2,infj
1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,1,2,esfp
1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,infp
2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,1,intj
1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,infp
1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,infp
1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,esfp
1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,intp
2,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,isfj
1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,intj
1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,enfj
1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,estj
2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,intj
1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,entp
2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,enfj
1,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,istp
2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,intp
1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,estj
2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,istp
2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,isfj
1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,enfp
1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,2,isfj
1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,estj
1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,esfp
2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,intp
1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,infp
2,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,1,entj
1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,istp
2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,infj
2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,estj
2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,1,istj
1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,istj
1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,estp
2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,enfj
2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,entj
2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,2,intj
1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,enfj
2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,1,estj
1,2,1,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,esfj
